category,db_id,db_name,db_team,db_dob,sfix_jleague_id,sfix_name,sfix_team,sfix_dob,note
confident,2591,畠中 槙之輔,C大阪,1995-08-25,11247,畠中 槙之輔,Ｃ大阪,1995-08-25,name+dob exact
confident,2603,中島 翔哉,浦和,1994-08-23,11193,中島 翔哉,浦和,1994-08-23,name+dob exact
confident,24939,宮市 亮,横浜FM,1992-12-14,44308,宮市 亮,横浜FM,1992-12-14,name+dob exact
confident,24872,酒井 高徳,神戸,1991-03-14,9080,酒井 高徳,神戸,1991-03-14,name+dob exact
confident,26729,ラザル ロマニッチ,川崎F,1998-03-25,70132,ラザル ロマニッチ,川崎Ｆ,1998-03-25,name+dob exact
confident,32861,紺野 和也,川崎F,1997-07-11,32517,紺野 和也,川崎Ｆ,1997-07-11,name+dob exact
confident,32884,櫛引 一紀,長崎,1993-02-12,11003,櫛引 一紀,長崎,1993-02-12,name+dob exact
confident,91692,池田 樹雷人,福岡,1996-09-17,15777,池田 樹雷人,福岡,1996-09-17,name+dob exact
confident,318059,田部井 涼,岡山,1999-06-25,39401,田部井 涼,岡山,1999-06-25,name+dob exact
confident,473599,末宗 寛士郎,岡山,2007-06-10,60447,末宗 寛士郎,岡山,2007-06-10,name+dob exact
confident,509245,里見 汰福,神戸,2009-04-20,61010,里見 汰福,神戸,2009-04-20,name+dob exact
confident,508073,キム ムンヒョン,福岡,2002-05-17,61974,キム ムンヒョン,福岡,2002-05-17,name+dob exact
confident,491469,ヒル 袈依廉,広島,2002-07-09,59528,ヒル 袈依廉,広島,2002-07-09,name+dob exact
confident,392714,越道 草太,広島,2004-04-03,38021,越道 草太,広島,2004-04-03,name+dob exact
confident,510575,千田 遼,岡山,2007-09-20,61695,千田 遼,岡山,2007-09-20,name+dob exact
confident,491467,小林 志紋,広島,2008-01-23,62127,小林 志紋,広島,2008-01-23,name+dob exact
confident,33463,末吉 塁,岡山,1996-07-26,31513,末吉 塁,岡山,1996-07-26,name+dob exact
confident,33282,田口 泰士,千葉,1991-03-16,10354,田口 泰士,千葉,1991-03-16,name+dob exact
confident,32853,中村 拓海,C大阪,2001-03-16,32331,中村 拓海,Ｃ大阪,2001-03-16,name+dob exact
confident,33035,荒木 隼人,広島,1996-08-07,29558,荒木 隼人,広島,1996-08-07,name+dob exact
confident,32872,永井 謙佑,名古屋,1989-03-05,10534,永井 謙佑,名古屋,1989-03-05,name+dob exact
confident,2595,佐々木 翔,広島,1989-10-02,11125,佐々木 翔,広島,1989-10-02,name+dob exact
confident,25330,大迫 勇也,神戸,1990-05-18,10402,大迫 勇也,神戸,1990-05-18,name+dob exact
confident,32953,登里 享平,C大阪,1990-11-13,10345,登里 享平,Ｃ大阪,1990-11-13,name+dob exact
confident,32959,家長 昭博,川崎F,1986-06-13,7093,家長 昭博,川崎Ｆ,1986-06-13,name+dob exact
confident,33034,大迫 敬介,広島,1999-07-28,19248,大迫 敬介,広島,1999-07-28,name+dob exact
confident,579056,安部 裕葵,浦和,1999-01-28,23190,安部 裕葵,浦和,1999-01-28,name+dob exact
confident,2588,中村 航輔,C大阪,1995-02-27,11369,中村 航輔,Ｃ大阪,1995-02-27,name+dob exact
confident,30931,サミュエル グスタフソン,浦和,1995-01-11,54756,サミュエル グスタフソン,浦和,1995-01-11,name+dob exact
confident,-3,元砂 晏翔仁 ウデンバ,鹿島,2009-03-10,66916,元砂 晏翔仁 ウデンバ,鹿島,2009-03-10,name+dob exact
confident,-33,鈴木 奎吾,清水,2003-07-13,38096,鈴木 奎吾,清水,2003-07-13,name+dob exact
confident,351328,バスケス バイロン,町田,2000-05-16,45014,バスケス バイロン,町田,2000-05-16,name+dob exact
confident,-49,塩尻 哲平,C大阪,2008-04-14,71064,塩尻 哲平,Ｃ大阪,2008-04-14,name+dob exact
confident,507609,古澤 ナベル慈宇,柏,2003-03-28,61707,古澤 ナベル慈宇,柏,2003-03-28,name+dob exact
confident,6849,トーマス デン,横浜FM,1997-03-20,37671,トーマス デン,横浜FM,1997-03-20,name+dob exact
confident,2600,乾 貴士,神戸,1988-06-02,9154,乾 貴士,神戸,1988-06-02,name+dob exact
confident,-59,松田 駿,岡山,2007-05-22,70887,松田 駿,岡山,2007-05-22,name+dob exact
confident,-60,バイゴリア ユウト,岡山,2006-08-18,70161,バイゴリア ユウト,岡山,2006-08-18,name+dob exact
confident,-62,鮎川 峻,広島,2001-09-15,23413,鮎川 峻,広島,2001-09-15,name+dob exact
confident,-63,太田 大翔,広島,2008-04-08,70143,太田 大翔,広島,2008-04-08,name+dob exact
confident,-64,野口 蓮斗,広島,2008-04-20,70144,野口 蓮斗,広島,2008-04-20,name+dob exact
confident,32865,品田 愛斗,千葉,1999-09-19,19681,品田 愛斗,千葉,1999-09-19,name+dob exact
confident,32904,米本 拓司,京都,1990-12-03,10110,米本 拓司,京都,1990-12-03,name+dob exact
confident,32962,大島 僚太,川崎F,1993-01-23,10946,大島 僚太,川崎Ｆ,1993-01-23,name+dob exact
