背番号,クラブ名,選手名,生年月日,JリーグID
1,鹿島アントラーズ,早川　友基,1999/3/3,1632225
2,鹿島アントラーズ,安西　幸輝,1995/5/31,1301053
3,鹿島アントラーズ,キム　テヒョン,2000/9/17,1625413
4,鹿島アントラーズ,千田　海人,1994/10/17,1604671
5,鹿島アントラーズ,関川　郁万,2000/9/13,1614200
6,鹿島アントラーズ,三竿　健斗,1996/4/16,1400757
7,鹿島アントラーズ,小川　諒也,1996/11/24,1500256
9,鹿島アントラーズ,レオ　セアラ,1995/2/3,1600257
10,鹿島アントラーズ,柴崎　岳,1992/5/28,1100202
11,鹿島アントラーズ,田川　亨介,1999/2/11,1603090
13,鹿島アントラーズ,知念　慶,1995/3/17,1607292
14,鹿島アントラーズ,樋口　雄太,1996/10/30,1624342
16,鹿島アントラーズ,溝口　修平,2004/2/13,1636235
17,鹿島アントラーズ,エウベル,1992/5/27,1632263
19,鹿島アントラーズ,師岡　柊生,2000/12/9,1637049
20,鹿島アントラーズ,舩橋　佑,2002/7/12,1631701
21,鹿島アントラーズ,山田　大樹,2002/1/8,1618487
22,鹿島アントラーズ,濃野　公人,2002/3/26,1645865
23,鹿島アントラーズ,津久井　佳祐,2004/5/21,1640644
24,鹿島アントラーズ,林　晴己,2003/12/5,1639689
25,鹿島アントラーズ,小池　龍太,1995/8/29,1500561
27,鹿島アントラーズ,松村　優太,2001/4/13,1629407
28,鹿島アントラーズ,大川　佑梧,2007/7/14,1646893
29,鹿島アントラーズ,梶川　裕嗣,1991/7/26,1400087
30,鹿島アントラーズ,吉田　湊海,2008/7/15,1646924
31,鹿島アントラーズ,藤井　陽登,2003/6/5,1645030
32,鹿島アントラーズ,松本　遥翔,2006/9/29,1644451
34,鹿島アントラーズ,徳田　誉,2007/2/18,1644450
35,鹿島アントラーズ,元砂　晏翔仁　ウデンバ,2009/3/10,1647819
40,鹿島アントラーズ,鈴木　優磨,1996/4/26,1400359
55,鹿島アントラーズ,植田　直通,1994/10/24,1300052
71,鹿島アントラーズ,荒木　遼太郎,2002/1/29,1622201
77,鹿島アントラーズ,チャヴリッチ,1994/5/18,1646090
2,水戸ホーリーホック,ダニーロ,1997/3/27,1650818
3,水戸ホーリーホック,大崎　航詩,1998/6/30,1632269
4,水戸ホーリーホック,牛澤　健,2001/4/11,1641535
5,水戸ホーリーホック,井上　聖也,1999/11/9,1632532
6,水戸ホーリーホック,飯田　貴敬,1994/8/31,1603283
7,水戸ホーリーホック,大森　渚生,1999/8/19,1636260
8,水戸ホーリーホック,加藤　千尋,1998/12/12,1500277
9,水戸ホーリーホック,根本　凌,2000/2/3,1630109
10,水戸ホーリーホック,渡邉　新太,1995/8/5,1503340
11,水戸ホーリーホック,鳥海　芳樹,1998/8/1,1600011
13,水戸ホーリーホック,粟飯原　尚平,1996/5/26,1624311
14,水戸ホーリーホック,新井　瑞希,1997/4/14,1614109
15,水戸ホーリーホック,長尾　優斗,2001/8/31,1624844
17,水戸ホーリーホック,板倉　健太,2002/6/15,1637055
19,水戸ホーリーホック,仙波　大志,1999/8/19,1605464
20,水戸ホーリーホック,パトリッキ,1998/9/5,1656732
21,水戸ホーリーホック,松原　修平,1992/8/11,1000260
24,水戸ホーリーホック,山﨑　希一,2001/10/12,1641542
25,水戸ホーリーホック,真瀬　拓海,1998/5/3,1607143
29,水戸ホーリーホック,多田　圭佑,2002/9/27,1635561
33,水戸ホーリーホック,安藤　晃希,2007/9/22,1650722
34,水戸ホーリーホック,西川　幸之介,2002/9/11,1632233
37,水戸ホーリーホック,上山　海翔,2007/9/10,1646371
39,水戸ホーリーホック,山本　隼大,2003/2/12,1647012
41,水戸ホーリーホック,島谷　義進,2008/3/23,1646766
44,水戸ホーリーホック,奥田　晃也,1994/10/1,1604675
48,水戸ホーリーホック,山下　優人,1996/5/24,1630059
51,水戸ホーリーホック,春名　竜聖,2004/5/1,1632426
53,水戸ホーリーホック,山下　翔大,2008/2/29,1655790
55,水戸ホーリーホック,林　和喜,2008/4/17,1656838
70,水戸ホーリーホック,マテウス　レイリア,1995/1/22,1634967
71,水戸ホーリーホック,フォファナ　マリック,2000/5/2,1647897
77,水戸ホーリーホック,早川　ウワブライト,2006/10/29,1650541
82,水戸ホーリーホック,川上　航立,2002/9/7,1635562
87,水戸ホーリーホック,五木田　季晋,2004/7/12,1641668
89,水戸ホーリーホック,佐々木　輝大,2003/9/29,1646520
1,浦和レッズ,西川　周作,1986/6/18,400563
2,浦和レッズ,宮本　優太,1999/12/15,1631769
3,浦和レッズ,ダニーロ　ボザ,1998/5/6,1651281
4,浦和レッズ,石原　広教,1999/2/26,1603257
5,浦和レッズ,根本　健太,2002/12/13,1636965
7,浦和レッズ,安部　裕葵,1999/1/28,1607183
8,浦和レッズ,マテウス　サヴィオ,1997/4/15,1627458
9,浦和レッズ,イサーク　キーセ　テリン,1992/6/24,1502882
10,浦和レッズ,中島　翔哉,1994/8/23,1200171
11,浦和レッズ,サミュエル　グスタフソン,1995/1/11,1645913
13,浦和レッズ,渡邊　凌磨,1996/10/2,1500294
14,浦和レッズ,関根　貴大,1995/4/19,1400040
16,浦和レッズ,牲川　歩見,1994/5/12,1200619
17,浦和レッズ,小森　飛絢,2000/8/6,1639183
22,浦和レッズ,柴戸　海,1995/11/24,1617891
24,浦和レッズ,松尾　佑介,1997/7/23,1626167
25,浦和レッズ,安居　海渡,2000/2/9,1633165
26,浦和レッズ,荻原　拓也,1999/11/23,1605916
27,浦和レッズ,照内　利和,2006/11/8,1647891
31,浦和レッズ,吉田　舜,1996/11/28,1500285
32,浦和レッズ,片山　瑛一,1991/11/30,1400104
35,浦和レッズ,佐藤　瑠星,2003/10/24,1636992
36,浦和レッズ,肥田野　蓮治,2003/12/1,1643560
37,浦和レッズ,植木　颯,2003/10/11,1641597
38,浦和レッズ,松永　颯汰,2003/10/5,1636974
